TranID,Time,Price,Volume,SaleOrderVolume,BuyOrderVolume,Type,SaleOrderID,SaleOrderPrice,BuyOrderID,BuyOrderPrice
8614,09:25:02,9.27,100,100,900,B,110014,9.27,63721,9.27
8615,09:25:02,9.27,800,5000,900,B,115091,9.27,63721,9.27
8616,09:25:02,9.27,1000,5000,1000,B,115091,9.27,63722,9.27
14633,09:30:01,9.26,1000,1000,1000,S,127429,9.26,63723,9.26
15746,09:30:02,9.21,500,500,1000,S,131258,9.21,63724,9.21
16335,09:30:02,9.26,700,700,1000,B,128534,9.26,133241,9.27
16336,09:30:02,9.27,300,5000,1000,B,115091,9.27,133241,9.27
19506,09:30:03,9.23,200,1000,200,B,137156,9.23,144814,9.23
20601,09:30:03,9.21,500,5000,1000,S,148694,9.2,63724,9.21
20602,09:30:03,9.21,1000,5000,1000,S,148694,9.2,75158,9.21
20603,09:30:03,9.2,2000,5000,2000,S,148694,9.2,132114,9.2
20901,09:30:03,9.2,100,5000,100,B,148694,9.2,149967,9.2
21075,09:30:04,9.2,100,5000,100,B,148694,9.2,150504,9.2
21727,09:30:04,9.2,100,5000,100,B,148694,9.2,153202,9.2
22211,09:30:04,9.2,100,5000,100,B,148694,9.2,155363,9.2
24072,09:30:06,9.2,100,5000,100,B,148694,9.2,162606,9.2
26278,09:30:14,9.2,100,5000,100,B,148694,9.2,168967,9.2
26647,09:30:15,9.2,100,5000,100,B,148694,9.2,169892,9.2
26662,09:30:15,9.2,100,5000,100,B,148694,9.2,169915,9.2
27860,09:30:19,9.2,100,5000,100,B,148694,9.2,172907,9.2
27888,09:30:19,9.2,600,5000,2000,B,148694,9.2,173007,9.26
27889,09:30:19,9.23,800,1000,2000,B,137156,9.23,173007,9.26
27890,09:30:19,9.26,600,2200,2000,B,159316,9.26,173007,9.26
29054,09:30:23,9.16,2000,2000,2000,S,175406,9.16,134668,9.16
31290,09:30:30,9.26,100,2200,100,B,159316,9.26,179208,9.26
31509,09:30:31,9.26,100,2200,100,B,159316,9.26,179644,9.26
31660,09:30:32,9.26,100,2200,100,B,159316,9.26,179892,9.26
32288,09:30:34,9.26,100,2200,100,B,159316,9.26,180813,9.26
34092,09:30:39,9.26,400,2200,400,B,159316,9.26,183761,9.26
35763,09:30:44,9.2,1600,1600,5700,S,186627,9.2,185646,9.2
37363,09:30:48,9.2,4100,5000,5700,S,189012,9.18,185646,9.2
37364,09:30:48,9.18,900,5000,900,S,189012,9.18,178208,9.18
42908,09:31:06,9.21,100,100,500,S,197725,9.21,191997,9.21
49551,09:31:29,9.21,400,7000,500,S,209088,9.2,191997,9.21
49552,09:31:29,9.21,2000,7000,2000,S,209088,9.2,206229,9.21
49553,09:31:29,9.2,4600,7000,5000,S,209088,9.2,193888,9.2
55176,09:31:47,9.2,100,100,5000,S,218180,9.2,193888,9.2
55412,09:31:47,9.2,300,2000,5000,S,218547,9.2,193888,9.2
55413,09:31:47,9.2,1700,2000,4600,S,218547,9.2,195989,9.2
56664,09:31:51,9.21,300,300,5000,S,220674,9.21,220429,9.21
56943,09:31:53,9.21,1000,1000,5000,S,221317,9.21,220429,9.21
60681,09:32:07,9.21,3700,7000,5000,S,228091,9.2,220429,9.21
60682,09:32:07,9.21,400,7000,400,S,228091,9.2,222617,9.21
60683,09:32:07,9.2,2900,7000,4600,S,228091,9.2,195989,9.2
64950,09:32:21,9.23,1000,1000,1000,S,235314,9.23,230438,9.23
66785,09:32:29,9.24,100,100,100,B,225799,9.24,238723,9.24
72591,09:32:48,9.25,5500,5500,5500,B,192163,9.25,248560,9.25
74809,09:32:56,9.26,800,2200,19500,B,159316,9.26,252319,9.29
74810,09:32:56,9.27,2900,5000,19500,B,115091,9.27,252319,9.29
74811,09:32:56,9.27,4800,4800,19500,B,190217,9.27,252319,9.29
74812,09:32:56,9.28,5000,5000,19500,B,162129,9.28,252319,9.29
74813,09:32:56,9.29,5000,5000,19500,B,162103,9.29,252319,9.29
74814,09:32:56,9.29,1000,1000,19500,B,188985,9.29,252319,9.29
78949,09:33:11,9.3,1000,1000,2100,B,110253,9.3,259408,9.3
78950,09:33:11,9.3,1100,1100,2100,B,147590,9.3,259408,9.3
79359,09:33:12,9.31,5000,5000,30000,B,161810,9.31,260096,9.34
79360,09:33:12,9.32,5000,5000,30000,B,161795,9.32,260096,9.34
79361,09:33:12,9.33,5000,5000,30000,B,161754,9.33,260096,9.34
79362,09:33:12,9.34,100,100,30000,B,54777,9.34,260096,9.34
79363,09:33:12,9.34,100,100,30000,B,56825,9.34,260096,9.34
80347,09:33:16,9.34,5000,5000,30000,S,261887,9.34,260096,9.34
81032,09:33:19,9.36,10000,10000,51000,B,161438,9.36,263169,9.39
81033,09:33:19,9.37,10000,10000,51000,B,158789,9.37,263169,9.39
81034,09:33:19,9.37,600,600,51000,B,203552,9.37,263169,9.39
81035,09:33:19,9.38,2900,2900,51000,B,128740,9.38,263169,9.39
81036,09:33:19,9.38,10000,10000,51000,B,158382,9.38,263169,9.39
81037,09:33:19,9.39,1000,1000,51000,B,64355,9.39,263169,9.39
81038,09:33:19,9.39,300,300,51000,B,74364,9.39,263169,9.39
81039,09:33:19,9.39,1000,1000,51000,B,75155,9.39,263169,9.39
81040,09:33:19,9.39,600,600,51000,B,173067,9.39,263169,9.39
83500,09:33:29,9.39,11300,11300,51000,S,267934,9.39,263169,9.39
83998,09:33:30,9.39,100,100,51000,S,268737,9.39,263169,9.39
84018,09:33:30,9.39,100,100,51000,S,268795,9.39,263169,9.39
84019,09:33:30,9.39,100,100,51000,S,268796,9.39,263169,9.39
84059,09:33:30,9.39,100,100,51000,S,268836,9.39,263169,9.39
84069,09:33:30,9.39,100,100,51000,S,268857,9.39,263169,9.39
84070,09:33:30,9.39,100,100,51000,S,268858,9.39,263169,9.39
84195,09:33:31,9.39,100,100,51000,S,269110,9.39,263169,9.39
84312,09:33:31,9.39,100,100,51000,S,269353,9.39,263169,9.39
84325,09:33:31,9.39,100,100,51000,S,269382,9.39,263169,9.39
84490,09:33:32,9.39,2400,6000,51000,S,269587,9.38,263169,9.39
86730,09:33:40,9.38,1000,6000,1000,B,269587,9.38,273823,9.38
86916,09:33:41,9.38,500,6000,500,B,269587,9.38,274181,9.38
87880,09:33:44,9.38,2100,6000,30000,B,269587,9.38,275783,9.43
87881,09:33:44,9.39,3000,3000,30000,B,272547,9.39,275783,9.43
87882,09:33:44,9.39,3000,3000,30000,B,275036,9.39,275783,9.43
87883,09:33:44,9.4,300,300,30000,B,275193,9.4,275783,9.43
87884,09:33:44,9.42,3000,3000,30000,B,273954,9.42,275783,9.43
87885,09:33:44,9.43,2900,2900,30000,B,129004,9.43,275783,9.43
88156,09:33:45,9.43,200,200,30000,S,276368,9.43,275783,9.43
88200,09:33:46,9.43,200,200,30000,S,276438,9.43,275783,9.43
88297,09:33:46,9.43,200,200,30000,S,276616,9.43,275783,9.43
88325,09:33:46,9.43,200,200,30000,S,276696,9.43,275783,9.43
88775,09:33:48,9.43,100,100,30000,S,277661,9.43,275783,9.43
88871,09:33:48,9.43,100,100,30000,S,277892,9.43,275783,9.43
88903,09:33:48,9.43,100,100,30000,S,277960,9.43,275783,9.43
88992,09:33:49,9.43,100,100,30000,S,278132,9.43,275783,9.43
88993,09:33:49,9.43,100,100,30000,S,278133,9.43,275783,9.43
89043,09:33:49,9.43,300,300,30000,S,278212,9.43,275783,9.43
89075,09:33:49,9.43,300,300,30000,S,278274,9.43,275783,9.43
89597,09:33:51,9.43,100,100,30000,S,279402,9.43,275783,9.43
89608,09:33:51,9.43,100,100,30000,S,279437,9.43,275783,9.43
89643,09:33:51,9.43,300,300,30000,S,279513,9.43,275783,9.43
89652,09:33:51,9.43,300,300,30000,S,279526,9.43,275783,9.43
90103,09:33:53,9.43,100,100,30000,S,280274,9.43,275783,9.43
90244,09:33:53,9.43,100,100,30000,S,280522,9.43,275783,9.43
90285,09:33:53,9.43,100,100,30000,S,280571,9.43,275783,9.43
90319,09:33:54,9.43,100,100,30000,S,280623,9.43,275783,9.43
90377,09:33:54,9.43,100,100,30000,S,280764,9.43,275783,9.43
90384,09:33:54,9.43,10000,10000,30000,S,280776,9.43,275783,9.43
90444,09:33:54,9.43,100,100,30000,S,280921,9.43,275783,9.43
90451,09:33:54,9.43,100,100,30000,S,280939,9.43,275783,9.43
90490,09:33:54,9.43,100,100,30000,S,281030,9.43,275783,9.43
90513,09:33:54,9.43,100,100,30000,S,281048,9.43,275783,9.43
91590,09:33:58,9.43,100,100,30000,S,282861,9.43,275783,9.43
91718,09:33:58,9.43,100,100,30000,S,283138,9.43,275783,9.43
91737,09:33:58,9.43,100,100,30000,S,283202,9.43,275783,9.43
91752,09:33:59,9.43,100,100,30000,S,283245,9.43,275783,9.43
91823,09:33:59,9.43,100,100,30000,S,283400,9.43,275783,9.43
91826,09:33:59,9.43,100,100,30000,S,283413,9.43,275783,9.43
92181,09:34:00,9.43,1500,5000,30000,S,283997,9.43,275783,9.43
92492,09:34:01,9.39,100,100,700,B,284104,9.39,284497,9.43
92493,09:34:01,9.39,100,100,700,B,284189,9.39,284497,9.43
92494,09:34:01,9.39,100,100,700,B,284210,9.39,284497,9.43
92495,09:34:01,9.43,400,5000,700,B,283997,9.43,284497,9.43
93748,09:34:05,9.43,3100,5000,30000,B,283997,9.43,286718,9.5
93749,09:34:05,9.43,700,700,30000,B,284369,9.43,286718,9.5
93750,09:34:05,9.44,1000,1000,30000,B,64356,9.44,286718,9.5
93751,09:34:05,9.44,700,700,30000,B,166145,9.44,286718,9.5
93752,09:34:05,9.49,1000,1000,30000,B,64643,9.49,286718,9.5
93753,09:34:05,9.49,200,200,30000,B,70137,9.49,286718,9.5
93754,09:34:05,9.49,1000,1000,30000,B,75154,9.49,286718,9.5
93755,09:34:05,9.49,2000,2000,30000,B,133766,9.49,286718,9.5
93756,09:34:05,9.49,1000,1000,30000,B,285657,9.49,286718,9.5
93757,09:34:05,9.49,5000,5000,30000,B,285761,9.49,286718,9.5
93758,09:34:05,9.5,12100,12100,30000,B,83800,9.5,286718,9.5
94059,09:34:06,9.5,100,100,30000,S,287294,9.5,286718,9.5
94061,09:34:06,9.5,100,100,30000,S,287306,9.5,286718,9.5
94088,09:34:06,9.5,100,100,30000,S,287352,9.5,286718,9.5
94196,09:34:07,9.5,100,100,30000,S,287581,9.5,286718,9.5
94326,09:34:07,9.5,100,100,30000,S,287824,9.5,286718,9.5
94878,09:34:09,9.5,100,100,30000,S,288721,9.5,286718,9.5
94894,09:34:09,9.5,100,100,30000,S,288759,9.5,286718,9.5
94909,09:34:09,9.5,100,100,30000,S,288787,9.5,286718,9.5
95039,09:34:10,9.5,100,100,30000,S,289017,9.5,286718,9.5
95938,09:34:13,9.5,1300,2800,30000,S,290587,9.49,286718,9.5
95939,09:34:13,9.49,1500,2800,34500,S,290587,9.49,290021,9.49
95946,09:34:13,9.49,500,500,34500,S,290595,9.49,290021,9.49
96036,09:34:13,9.49,600,600,34500,S,290764,9.49,290021,9.49
98639,09:34:22,9.5,4000,4000,30000,B,290640,9.5,295318,9.6
98640,09:34:22,9.5,700,700,30000,B,291587,9.5,295318,9.6
98641,09:34:22,9.5,500,500,30000,B,294523,9.5,295318,9.6
98642,09:34:22,9.5,7000,7000,30000,B,294929,9.5,295318,9.6
98643,09:34:22,9.53,1400,1400,30000,B,294259,9.53,295318,9.6
98644,09:34:22,9.54,1500,1500,30000,B,37372,9.54,295318,9.6
98645,09:34:22,9.54,1000,1000,30000,B,64740,9.54,295318,9.6
98646,09:34:22,9.54,2100,2100,30000,B,291084,9.54,295318,9.6
98647,09:34:22,9.55,3000,3000,30000,B,251229,9.55,295318,9.6
98648,09:34:22,9.56,2000,2000,30000,B,40082,9.56,295318,9.6
98649,09:34:22,9.59,1000,1000,30000,B,64741,9.59,295318,9.6
98650,09:34:22,9.6,600,600,30000,B,70898,9.6,295318,9.6
98651,09:34:22,9.6,500,500,30000,B,166934,9.6,295318,9.6
98652,09:34:22,9.6,1000,1000,30000,B,288490,9.6,295318,9.6
98653,09:34:22,9.6,300,300,30000,B,289709,9.6,295318,9.6
99978,09:34:26,9.6,1100,1100,30000,S,297445,9.6,295318,9.6
100232,09:34:27,9.6,2300,3000,30000,S,297915,9.54,295318,9.6
100233,09:34:27,9.54,700,3000,56300,S,297915,9.54,296880,9.54
100656,09:34:28,9.54,20000,20000,56300,S,298682,9.54,296880,9.54
102408,09:34:34,9.61,100,2000,100,B,61270,9.61,301467,9.61
103598,09:34:38,9.61,200,2000,200,B,61270,9.61,303290,9.61
104935,09:34:42,9.6,10000,10000,13100,B,305190,9.6,305496,9.61
104936,09:34:42,9.61,1700,2000,13100,B,61270,9.61,305496,9.61
104937,09:34:42,9.61,1400,1400,13100,B,303771,9.61,305496,9.61
105754,09:34:45,9.55,1000,30000,1000,S,307087,9.54,305455,9.55
105755,09:34:45,9.54,29000,30000,56300,S,307087,9.54,296880,9.54
105975,09:34:46,9.6,1000,2000,1000,B,306891,9.6,307514,9.6
107194,09:34:50,9.55,700,1000,700,B,308719,9.55,309287,9.55
107206,09:34:50,9.55,300,1000,500,B,308719,9.55,309319,9.55
107271,09:34:50,9.6,200,2000,200,B,306891,9.6,309445,9.6
107552,09:34:51,9.6,200,2000,200,B,306891,9.6,309948,9.6
108113,09:34:53,9.6,600,2000,1800,B,306891,9.6,310867,9.6
108114,09:34:53,9.6,1200,3000,1800,B,307815,9.6,310867,9.6
108158,09:34:54,9.6,500,3000,500,B,307815,9.6,310983,9.6
108268,09:34:54,9.6,200,3000,200,B,307815,9.6,311273,9.6
108406,09:34:55,9.6,100,3000,100,B,307815,9.6,311656,9.6
109282,09:34:59,9.6,100,3000,100,B,307815,9.6,313330,9.6
109290,09:34:59,9.57,1100,1100,1500,S,313358,9.57,311903,9.57
112257,09:35:09,9.57,400,11400,1500,S,318353,9.57,311903,9.57
113398,09:35:13,9.57,11000,11400,11000,B,318353,9.57,320325,9.57
113761,09:35:14,9.56,300,5000,300,B,320580,9.56,320947,9.56
114433,09:35:17,9.56,1800,5000,1800,B,320580,9.56,322068,9.56
114503,09:35:17,9.55,200,1200,500,S,322209,9.55,309319,9.55
114504,09:35:17,9.55,1000,1200,1000,S,322209,9.55,319520,9.55
116062,09:35:22,9.54,500,500,56300,S,324854,9.54,296880,9.54
117166,09:35:27,9.54,2300,2300,56300,S,326948,9.54,296880,9.54
117333,09:35:27,9.54,3800,5400,56300,S,327188,9.54,296880,9.54
117334,09:35:27,9.54,500,5400,500,S,327188,9.54,300024,9.54
118787,09:35:33,9.54,1100,5400,1100,B,327188,9.54,329719,9.54
118999,09:35:33,9.52,500,500,500,S,329986,9.52,298456,9.52
120806,09:35:39,9.49,16700,16700,34500,S,332961,9.49,290021,9.49
122713,09:35:47,9.51,300,300,300,S,336603,9.51,333351,9.51
123174,09:35:49,9.52,100,100,1900,B,333895,9.52,337356,9.52
123175,09:35:49,9.52,1800,2000,1900,B,335175,9.52,337356,9.52
123415,09:35:50,9.5,100,5000,100,S,337789,9.49,334470,9.5
123416,09:35:50,9.49,4900,5000,34500,S,337789,9.49,290021,9.49
123587,09:35:51,9.49,3000,3000,34500,S,338100,9.49,290021,9.49
123627,09:35:51,9.49,7300,10400,34500,S,338210,9.49,290021,9.49
126775,09:36:02,9.36,1000,1000,1000,S,343982,9.36,343972,9.36
127468,09:36:04,9.48,400,500,400,B,341599,9.48,344919,9.48
128152,09:36:07,9.48,100,500,4800,B,341599,9.48,346163,9.49
128153,09:36:07,9.49,3100,10400,4800,B,338210,9.49,346163,9.49
128154,09:36:07,9.49,1000,1000,4800,B,343420,9.49,346163,9.49
128155,09:36:07,9.49,600,600,4800,B,344049,9.49,346163,9.49
131632,09:36:20,9.48,100,100,100,B,352028,9.48,352032,9.48
132291,09:36:22,9.46,300,300,2000,S,353163,9.46,348286,9.46
132467,09:36:23,9.46,1700,3400,2000,S,353524,9.46,348286,9.46
133334,09:36:26,9.38,1800,2000,1800,S,354889,9.36,352819,9.38
133335,09:36:26,9.36,200,2000,1000,S,354889,9.36,349384,9.36
134371,09:36:30,9.46,1700,3400,1700,B,353524,9.46,356742,9.46
141160,09:36:54,9.45,1100,1200,1100,B,363976,9.45,368034,9.45
142983,09:37:02,9.37,1000,1700,1000,S,371245,9.37,361921,9.37
142984,09:37:02,9.37,700,1700,3900,S,371245,9.37,362996,9.37
143559,09:37:04,9.37,3200,5000,3900,S,372181,9.36,362996,9.37
143560,09:37:04,9.37,500,5000,500,S,372181,9.36,371247,9.37
143561,09:37:04,9.37,500,5000,500,S,372181,9.36,371370,9.37
143562,09:37:04,9.36,800,5000,1000,S,372181,9.36,349384,9.36
149049,09:37:25,9.43,1500,1500,2000,B,379248,9.43,381623,9.44
149050,09:37:25,9.44,500,500,2000,B,379959,9.44,381623,9.44
151717,09:37:37,9.45,100,1200,100,B,363976,9.45,386357,9.45
159707,09:38:08,9.43,200,5000,200,B,397261,9.43,399701,9.43
161210,09:38:14,9.39,2100,2100,2800,S,402272,9.39,401332,9.39
161554,09:38:16,9.43,2000,5000,2000,B,397261,9.43,402968,9.43
165381,09:38:33,9.42,900,3900,900,B,404543,9.42,410050,9.42
166101,09:38:35,9.39,300,300,2800,S,410999,9.39,401332,9.39
167381,09:38:40,9.4,400,400,4200,S,413247,9.4,411448,9.4
168342,09:38:43,9.4,500,500,4200,S,414520,9.4,411448,9.4
170455,09:38:51,9.4,3300,4600,4200,S,417766,9.4,411448,9.4
170764,09:38:53,9.4,900,4600,900,B,417766,9.4,418205,9.4
171290,09:38:55,9.39,400,3300,2800,S,419072,9.38,401332,9.39
171291,09:38:55,9.38,2100,3300,2100,S,419072,9.38,390105,9.38
171292,09:38:55,9.38,800,3300,2000,S,419072,9.38,404499,9.38
171472,09:38:55,9.4,400,4600,1500,B,417766,9.4,419426,9.4
172669,09:38:59,9.4,500,500,1500,S,421096,9.4,419426,9.4
173016,09:39:00,9.4,600,800,1500,S,421588,9.4,419426,9.4
173976,09:39:04,9.38,600,600,2000,S,423248,9.38,404499,9.38
176029,09:39:13,9.38,600,1600,2000,S,426613,9.38,404499,9.38
176030,09:39:13,9.38,1000,1600,1000,S,426613,9.38,409473,9.38
182411,09:39:36,9.39,400,1000,400,B,423756,9.39,436465,9.39
184442,09:39:44,9.39,600,1000,1100,B,423756,9.39,439590,9.39
191911,09:40:11,9.4,200,800,1000,B,421588,9.4,451359,9.41
191912,09:40:11,9.41,800,1400,1000,B,410828,9.41,451359,9.41
194773,09:40:23,9.4,200,200,200,S,456399,9.4,455412,9.4
197024,09:40:32,9.41,600,1400,700,B,410828,9.41,460229,9.41
197025,09:40:32,9.41,100,5400,700,B,422774,9.41,460229,9.41
197410,09:40:33,9.41,400,5400,400,B,422774,9.41,460702,9.41
198058,09:40:35,9.4,500,5000,500,S,461763,9.4,458973,9.4
198059,09:40:35,9.4,4500,5000,4700,S,461763,9.4,459221,9.4
200392,09:40:45,9.4,200,1600,4700,S,466095,9.4,459221,9.4
200393,09:40:45,9.4,300,1600,300,S,466095,9.4,465316,9.4
200447,09:40:45,9.39,200,200,1100,S,466207,9.39,439590,9.39
201519,09:40:49,9.4,1100,1600,2000,B,466095,9.4,467918,9.4
201520,09:40:49,9.4,900,1000,2000,B,467534,9.4,467918,9.4
203319,09:40:56,9.39,300,300,1100,S,470895,9.39,439590,9.39
207562,09:41:12,9.4,100,1000,3000,B,467534,9.4,477615,9.4
207563,09:41:12,9.4,400,400,3000,B,469456,9.4,477615,9.4
208775,09:41:17,9.4,1600,1600,3000,S,479963,9.4,477615,9.4
210835,09:41:24,9.41,2000,5400,2000,B,422774,9.41,482954,9.41
213453,09:41:35,9.4,900,5000,3000,S,487447,9.4,477615,9.4
213454,09:41:35,9.4,500,5000,500,S,487447,9.4,480674,9.4
213455,09:41:35,9.4,1000,5000,1000,S,487447,9.4,482194,9.4
213456,09:41:35,9.4,1000,5000,1000,S,487447,9.4,487242,9.4
213511,09:41:35,9.4,1600,5000,10000,B,487447,9.4,487522,9.41
213512,09:41:35,9.41,2900,5400,10000,B,422774,9.41,487522,9.41
216279,09:41:46,9.41,200,200,10000,S,491919,9.41,487522,9.41
217179,09:41:49,9.42,1100,3900,1100,B,404543,9.42,493217,9.42
220240,09:42:02,9.42,500,3900,500,B,404543,9.42,498356,9.42
222476,09:42:11,9.42,600,3900,600,B,404543,9.42,502099,9.42
224244,09:42:19,9.41,100,100,10000,S,505175,9.41,487522,9.41
224845,09:42:21,9.42,800,3900,1300,B,404543,9.42,506024,9.42
224846,09:42:21,9.42,500,1400,1300,B,406455,9.42,506024,9.42
228340,09:42:35,9.42,400,1400,400,B,406455,9.42,511778,9.42
229555,09:42:40,9.42,500,1400,26600,B,406455,9.42,513542,9.43
229556,09:42:40,9.42,600,600,26600,B,419928,9.42,513542,9.43
229557,09:42:40,9.43,2800,5000,26600,B,397261,9.43,513542,9.43
229558,09:42:40,9.43,1000,1000,26600,B,410536,9.43,513542,9.43
229559,09:42:40,9.43,10000,10000,26600,B,496528,9.43,513542,9.43
231126,09:42:46,9.43,1000,1000,26600,S,516095,9.43,513542,9.43
233162,09:42:55,9.43,500,500,26600,S,519353,9.43,513542,9.43
235659,09:43:05,9.44,1000,25000,1000,B,401597,9.44,523003,9.44
235759,09:43:05,9.43,1400,1400,26600,S,523218,9.43,513542,9.43
236096,09:43:07,9.44,500,25000,500,B,401597,9.44,523674,9.44
236857,09:43:10,9.43,2500,2500,26600,S,525021,9.43,513542,9.43
240604,09:43:25,9.43,1500,1500,26600,S,530733,9.43,513542,9.43
242451,09:43:32,9.43,1500,1500,26600,S,533518,9.43,513542,9.43
242491,09:43:32,9.43,200,200,26600,S,533577,9.43,513542,9.43
242938,09:43:34,9.44,1000,25000,1000,B,401597,9.44,534273,9.44
243265,09:43:35,9.44,200,25000,200,B,401597,9.44,534834,9.44
244462,09:43:40,9.44,700,25000,700,B,401597,9.44,536577,9.44
245224,09:43:43,9.43,1000,1000,26600,S,537793,9.43,513542,9.43
248148,09:43:54,9.44,1000,25000,1000,B,401597,9.44,542374,9.44
248325,09:43:55,9.43,500,500,26600,S,542722,9.43,513542,9.43
248723,09:43:56,9.44,2000,25000,2000,B,401597,9.44,543078,9.44
248989,09:43:57,9.43,1600,4000,26600,S,543492,9.43,513542,9.43
250482,09:44:02,9.41,500,500,10000,S,545719,9.41,487522,9.41
251904,09:44:08,9.42,300,3100,300,S,548010,9.41,547476,9.42
251905,09:44:08,9.41,2800,3100,10000,S,548010,9.41,487522,9.41
254069,09:44:17,9.42,200,200,2900,S,551814,9.42,549010,9.42
254306,09:44:19,9.43,2400,4000,15000,B,543492,9.43,552299,9.43
255346,09:44:22,9.43,12600,30000,15000,S,553768,9.43,552299,9.43
258101,09:44:32,9.42,300,300,2900,S,558168,9.42,549010,9.42
261436,09:44:43,9.43,100,30000,100,B,553768,9.43,563042,9.43
262153,09:44:46,9.42,100,100,2900,S,564196,9.42,549010,9.42
262932,09:44:49,9.42,200,200,2900,S,565668,9.42,549010,9.42
263240,09:44:51,9.43,200,30000,200,B,553768,9.43,566238,9.43
264771,09:44:57,9.42,2100,2900,2900,S,568676,9.42,549010,9.42
264772,09:44:57,9.42,600,2900,600,S,568676,9.42,557046,9.42
266490,09:45:03,9.42,200,2900,900,B,568676,9.42,571337,9.42
266491,09:45:03,9.42,700,1100,900,B,570095,9.42,571337,9.42
266735,09:45:04,9.42,200,1100,200,B,570095,9.42,571846,9.42
268277,09:45:10,9.41,700,700,10000,S,574148,9.41,487522,9.41
269139,09:45:14,9.41,500,500,10000,S,575787,9.41,487522,9.41
269889,09:45:18,9.41,700,2000,10000,S,577182,9.41,487522,9.41
269890,09:45:18,9.41,1300,2000,5000,S,577182,9.41,506355,9.41
270082,09:45:19,9.41,2000,2000,5000,S,577539,9.41,506355,9.41
270405,09:45:20,9.42,200,1100,1200,B,570095,9.42,578169,9.42
270406,09:45:20,9.42,1000,1200,1200,B,570857,9.42,578169,9.42
270657,09:45:22,9.41,1700,2000,5000,S,578677,9.41,506355,9.41
270658,09:45:22,9.41,300,2000,300,S,578677,9.41,508116,9.41
275816,09:45:43,9.41,1000,1000,5000,B,579698,9.41,586669,9.41
275817,09:45:43,9.41,3000,3000,5000,B,579708,9.41,586669,9.41
275818,09:45:43,9.41,1000,2200,5000,B,580207,9.41,586669,9.41
279912,09:45:59,9.41,1200,2200,20000,B,580207,9.41,593042,9.41
280321,09:46:01,9.41,600,600,20000,S,593773,9.41,593042,9.41
280686,09:46:02,9.41,10000,10000,20000,S,594256,9.41,593042,9.41
285294,09:46:21,9.41,100,100,20000,S,601868,9.41,593042,9.41
